year,month,temp,vapour pressure,PET(Potential Evapo-Transpiration),rainfall
1975,Jan,21.88,24.44,5.85,0
1975,Feb,24.95,25.07,6.63,3.91
1975,Mar,26.81,25.11,7.43,11.14
1975,Apr,28.67,34.8,7.64,27.28
1975,May,27.05,46.93,7.24,124.76
1975,Jun,24.51,74.67,5.79,83.67
1975,Jul,23.51,80.74,5.3,190.65
1975,Aug,23.83,75.44,5.41,101.71
1975,Sep,23.72,67.12,5.67,135.09
1975,Oct,23.47,64.32,5.29,188.77
1975,Nov,22.06,46.39,5.23,129.3
1975,Dec,21.15,33.42,5.35,5.79
1976,Jan,20.7,26.18,5.78,0
1976,Feb,23.18,19.18,6.61,0
1976,Mar,26.76,22.79,7.46,0.25
1976,Apr,27.28,35.7,7.52,111.14
1976,May,27.43,43.64,7.25,69.87
1976,Jun,25.73,60.79,6.12,20.72
1976,Jul,24.44,78.32,5.42,51.05
1976,Aug,24.03,71.89,5.47,111.41
1976,Sep,24.62,62.7,5.77,47.69
1976,Oct,24.73,55.64,5.5,69.55
1976,Nov,23.27,51.65,5.21,146.72
1976,Dec,22.43,35.02,5.36,1.29
1977,Jan,22.17,23.17,5.92,0
1977,Feb,24.34,24.29,6.63,1.24
1977,Mar,26.58,25.08,7.42,32.9
1977,Apr,28.07,36.8,7.57,89.79
1977,May,26.18,48.91,7.13,155.89
1977,Jun,24.86,71.25,5.84,115.04
1977,Jul,24.04,80.86,5.32,45.75
1977,Aug,24.26,73.89,5.44,97.67
1977,Sep,24.8,62.94,5.81,101.51
1977,Oct,23.96,60.78,5.38,295.31
1977,Nov,23.37,51.96,5.2,102.97
1977,Dec,21.95,33.44,5.37,0.22
1978,Jan,22.42,27.53,5.85,0
1978,Feb,24.15,25.05,6.6,12.3
1978,Mar,26.48,24.59,7.43,2.7
1978,Apr,28.04,34.68,7.58,65.44
1978,May,26.74,47.3,7.22,107.63
1978,Jun,23.94,73.03,5.79,45.54
1978,Jul,23.44,81.69,5.25,95.81
1978,Aug,23.67,74.59,5.41,62.76
1978,Sep,24.2,63.78,5.73,153.49
1978,Oct,24.48,57.02,5.46,97.78
1978,Nov,23.51,47.91,5.26,68.44
1978,Dec,22.08,41.36,5.22,37.23
1979,Jan,22.78,30.75,5.78,0
1979,Feb,24.66,28.36,6.57,37.73
1979,Mar,26.57,24.28,7.43,4.42
1979,Apr,28.33,31.95,7.65,33.35
1979,May,27.27,45.21,7.25,89.36
1979,Jun,25.09,69.82,5.95,167.94
1979,Jul,22.99,81.08,5.26,96.57
1979,Aug,24.1,72.31,5.44,75.04
1979,Sep,24.13,66.32,5.68,233.92
1979,Oct,24.23,56.74,5.45,171.93
1979,Nov,23.29,54.8,5.12,128.21
1979,Dec,22.77,37.25,5.35,1.08
1980,Jan,22.07,23.7,5.92,0
1980,Feb,24.38,21.75,6.68,0
1980,Mar,26.56,23.16,7.46,3.22
1980,Apr,27.98,36.64,7.52,52.23
1980,May,27.84,44.4,7.32,126.08
1980,Jun,24.27,75.21,5.77,70.97
1980,Jul,24.02,79.28,5.34,62.86
1980,Aug,23.96,72.59,5.43,58.55
1980,Sep,24.96,62.49,5.8,177.48
1980,Oct,24.69,54,5.53,122.98
1980,Nov,23.4,45.31,5.3,37.02
1980,Dec,22.88,36.97,5.34,7.72
1981,Jan,22.84,25.96,5.92,0.9
1981,Feb,24.53,22.79,6.69,0
1981,Mar,26.37,24.4,7.42,72.32
1981,Apr,28.2,35.02,7.58,27.08
1981,May,27.24,46.16,7.25,136.22
1981,Jun,24.56,71.07,5.86,23.03
1981,Jul,24.66,80,5.37,106.88
1981,Aug,23.65,72.95,5.45,103.78
1981,Sep,24.23,63.78,5.74,188.52
1981,Oct,24.35,58.68,5.43,125.7
1981,Nov,23.17,46.03,5.32,40.67
1981,Dec,21.71,36.49,5.29,13.07
1982,Jan,22,25.85,5.83,0
1982,Feb,24.71,23.36,6.64,0
1982,Mar,27.18,24.52,7.48,2.08
1982,Apr,28.35,35,7.6,17.55
1982,May,27.3,46.3,7.25,91.95
1982,Jun,24.65,70.02,5.89,111.63
1982,Jul,24.29,80,5.34,44.34
1982,Aug,24.45,72.95,5.47,56.74
1982,Sep,24.84,63.78,5.77,111.68
1982,Oct,25.2,58.6,5.47,104.06
1982,Nov,23.54,46.56,5.34,52.01
1982,Dec,22.01,35.79,5.34,1.7
1983,Jan,22.38,25.85,5.82,0
1983,Feb,26.13,23.39,6.7,0
1983,Mar,28.05,24.06,7.55,0.02
1983,Apr,29.07,35,7.64,5.41
1983,May,28.06,46.3,7.29,129.95
1983,Jun,25.51,70.03,5.92,199.2
1983,Jul,24.81,79.62,5.41,83.34
1983,Aug,24.18,72.95,5.49,127.7
1983,Sep,23.95,63.78,5.74,145.85
1983,Oct,24.3,58.94,5.42,63.32
1983,Nov,23.01,46.33,5.27,13.21
1983,Dec,22.17,35.85,5.32,63.27
1984,Jan,22.79,25.85,5.92,0.54
1984,Feb,23.43,23.39,6.64,19.57
1984,Mar,25.42,24.06,7.36,57.8
1984,Apr,27.38,35,7.47,39.29
1984,May,28.13,46.3,7.29,68.7
1984,Jun,24.53,70.82,5.9,51.11
1984,Jul,23.72,80,5.3,154.71
1984,Aug,24.16,72.95,5.45,31.72
1984,Sep,24.55,63.78,5.77,132.23
1984,Oct,23.98,58.18,5.44,160.49
1984,Nov,23.05,45.78,5.26,15.18
1984,Dec,22.48,35.65,5.34,11.31
1985,Jan,23.02,25.85,5.9,2.96
1985,Feb,25.07,22.8,6.7,0.09
1985,Mar,27.18,23.42,7.5,18.42
1985,Apr,28.32,35,7.61,14.41
1985,May,27.62,46.3,7.29,86.58
1985,Jun,24.26,70.02,5.89,77.57
1985,Jul,23.76,80,5.3,69.11
1985,Aug,24.28,72.95,5.44,51.41
1985,Sep,25.06,63.78,5.81,94.86
1985,Oct,23.88,58.54,5.43,77.87
1985,Nov,22.58,45.76,5.24,106.82
1985,Dec,22.72,35.85,5.35,4.58
1986,Jan,21.99,25.85,5.87,16.72
1986,Feb,24.02,22.61,6.63,12.42
1986,Mar,26.91,24.06,7.43,0.26
1986,Apr,28.74,34.98,7.62,13.45
1986,May,27.71,46.3,7.3,90.12
1986,Jun,24.82,70.02,5.89,121.3
1986,Jul,24.58,79.62,5.37,58.53
1986,Aug,24.05,72.95,5.46,72.59
1986,Sep,24.73,63.78,5.76,295.45
1986,Oct,24.76,58.19,5.46,110.34
1986,Nov,23.24,46.62,5.27,98.76
1986,Dec,22.71,35.88,5.35,16.81
1987,Jan,22.34,25.85,5.9,0.2
1987,Feb,23.54,22.79,6.63,0
1987,Mar,25.96,24.06,7.39,22.42
1987,Apr,28.18,35,7.55,60.15
1987,May,27.53,46.3,7.23,95.83
1987,Jun,25.28,69.9,5.91,79.41
1987,Jul,25.17,80,5.41,49.26
1987,Aug,24.51,72.95,5.47,110.25
1987,Sep,25.74,63.78,5.82,66.28
1987,Oct,24.76,58.18,5.48,153.86
1987,Nov,23.75,46.25,5.33,40.91
1987,Dec,22.42,35.85,5.36,50.75
1988,Jan,22.21,25.85,5.84,0
1988,Feb,25.39,22.79,6.68,1.54
1988,Mar,27.6,24.06,7.54,0.43
1988,Apr,27.55,35,7.58,84.22
1988,May,27.38,46.34,7.22,202.75
1988,Jun,25.49,70.26,5.93,32.38
1988,Jul,24.02,80,5.35,206.16
1988,Aug,24.01,72.95,5.46,169.13
1988,Sep,24.16,63.78,5.71,261.1
1988,Oct,24.74,58.79,5.43,15.69
1988,Nov,23.29,45.97,5.32,39.93
1988,Dec,22.09,35.85,5.34,28.42
1989,Jan,22.25,25.56,5.88,0.06
1989,Feb,24.09,22.79,6.66,0
1989,Mar,26.02,24.06,7.41,5.49
1989,Apr,28.09,35,7.55,9.87
1989,May,27.4,46.3,7.25,95.21
1989,Jun,24.72,70.02,5.88,108.34
1989,Jul,23.81,80,5.32,180.46
1989,Aug,23.96,72.95,5.43,45.99
1989,Sep,24.51,63.78,5.75,173.79
1989,Oct,24.77,58.34,5.46,229.16
1989,Nov,23.2,45.97,5.32,12.12
1989,Dec,22.31,35.85,5.35,4.15
1990,Jan,22.4,25.85,5.88,0.98
1990,Feb,24.7,22.79,6.67,0.19
1990,Mar,27.15,24.06,7.45,4.55
1990,Apr,28.71,35,7.66,32.72
1990,May,26.14,46.19,7.21,191.15
1990,Jun,24.6,70.02,5.87,55.36
1990,Jul,23.99,80,5.33,38.32
1990,Aug,23.85,72.95,5.42,78.44
1990,Sep,25.06,63.78,5.77,68.04
1990,Oct,24.33,58.3,5.45,183.54
1990,Nov,23.35,46.32,5.3,35.81
1990,Dec,22.2,35.85,5.28,9.38
1991,Jan,23.5,25.85,5.92,0.03
1991,Feb,24.78,22.79,6.68,0.02
1991,Mar,27.64,24.06,7.53,0.26
1991,Apr,27.91,35,7.59,47.8
1991,May,27.73,46.3,7.28,204.38
1991,Jun,24.66,70.02,5.91,191.57
1991,Jul,23.58,80,5.32,69.05
1991,Aug,23.62,72.95,5.41,86.44
1991,Sep,25.02,63.78,5.78,85.2
1991,Oct,24.29,58.18,5.47,285.12
1991,Nov,22.66,45.97,5.27,26.57
1991,Dec,21.87,35.85,5.34,0.32
1992,Jan,21.39,25.85,5.79,0.07
1992,Feb,24.74,22.79,6.67,0
1992,Mar,26.48,24.06,7.45,0
1992,Apr,28.1,35,7.58,10.61
1992,May,26.87,46.3,7.21,108.71
1992,Jun,24.81,70.02,5.88,159.07
1992,Jul,24.26,80,5.34,149.41
1992,Aug,24.09,72.95,5.46,80.33
1992,Sep,24.63,63.78,5.76,100.15
1992,Oct,24.39,58.18,5.43,159.65
1992,Nov,23.54,45.97,5.33,50.4
1992,Dec,21.44,35.85,5.28,1.04
1993,Jan,22.22,25.85,5.85,0
1993,Feb,24.16,22.79,6.63,0.02
1993,Mar,26.69,24.06,7.43,24.73
1993,Apr,28.2,35,7.58,40.83
1993,May,27.82,46.3,7.27,122.39
1993,Jun,25.3,70.02,5.92,127.3
1993,Jul,24.28,80,5.35,85.22
1993,Aug,24.46,72.95,5.49,92.28
1993,Sep,24.13,63.78,5.75,152.13
1993,Oct,24.2,58.18,5.42,180.65
1993,Nov,23.14,45.97,5.3,34.26
1993,Dec,21.67,35.85,5.28,73.32
1994,Jan,22.5,25.85,5.86,0.43
1994,Feb,24.59,22.79,6.67,1.41
1994,Mar,26.98,24.06,7.47,4.87
1994,Apr,27.74,35,7.55,18.34
1994,May,27.69,46.3,7.24,92.14
1994,Jun,25.07,70.02,5.92,43.56
1994,Jul,23.75,80,5.31,98.22
1994,Aug,24.59,72.95,5.46,49.76
1994,Sep,24.82,63.78,5.81,51.71
1994,Oct,24.27,58.18,5.47,199.81
1994,Nov,22.47,45.97,5.27,35.93
1994,Dec,21.25,35.85,5.28,6.67
1995,Jan,22.37,25.85,5.83,16.37
1995,Feb,24.98,22.79,6.7,0.1
1995,Mar,26.47,24.06,7.46,15.62
1995,Apr,28.07,35,7.6,36.34
1995,May,26.25,46.3,7.16,170.96
1995,Jun,25.95,70.02,5.91,90
1995,Jul,24.17,80,5.35,96.59
1995,Aug,24.61,72.95,5.47,162.77
1995,Sep,24.73,63.78,5.77,158.1
1995,Oct,24.52,58.18,5.42,174.22
1995,Nov,24.48,45.97,5.36,19.97
1995,Dec,22.23,35.85,5.35,0.25
1996,Jan,22.98,19,6.03,0.03
1996,Feb,24.35,11.18,6.87,0.04
1996,Mar,27.08,22.15,7.51,0.7
1996,Apr,27.69,34.52,7.55,101.24
1996,May,28.27,45.1,7.29,126.53
1996,Jun,25.05,77.03,5.78,206.44
1996,Jul,24.58,84.16,5.29,51.53
1996,Aug,24.17,78.71,5.36,203.06
1996,Sep,24.44,77.12,5.52,171.74
1996,Oct,24.14,56.25,5.45,184.89
1996,Nov,23.75,54.42,5.17,13.34
1996,Dec,21.86,49.54,5.07,21.87
1997,Jan,22.61,31.06,5.78,4.44
1997,Feb,24.66,16.22,6.82,0
1997,Mar,26.58,28.48,7.39,22.58
1997,Apr,26.85,34.34,7.5,73.29
1997,May,27.6,46.71,7.18,83.37
1997,Jun,26.43,66.86,6.02,76.1
1997,Jul,24.84,87.23,5.27,33.48
1997,Aug,24.52,76.24,5.42,114.25
1997,Sep,25.21,64.07,5.79,161.38
1997,Oct,24.9,46.76,5.69,314.38
1997,Nov,24.35,55.06,5.15,180.44
1997,Dec,23.12,47.56,5.15,27.5
1998,Jan,23.53,23.82,5.96,0.03
1998,Feb,25.72,17.86,6.81,0.18
1998,Mar,27.92,21.18,7.57,0.19
1998,Apr,28.91,30.16,7.72,95.81
1998,May,28.08,51.58,7.17,125.06
1998,Jun,26.26,75.43,5.89,59.41
1998,Jul,24.55,81.26,5.36,214.57
1998,Aug,24.76,76.35,5.43,256.6
1998,Sep,24.59,74.17,5.58,144.88
1998,Oct,24.51,60.5,5.39,219.25
1998,Nov,23.91,44.86,5.35,57.15
1998,Dec,22.48,45.4,5.17,45.44
1999,Jan,22.71,22.68,5.96,0.04
1999,Feb,24.47,18.68,6.73,10.57
1999,Mar,27.49,27,7.43,0.56
1999,Apr,27.89,33.22,7.65,77.58
1999,May,25.82,59.38,6.91,226.05
1999,Jun,24.77,66.85,5.91,73.12
1999,Jul,24.24,84.33,5.25,99.26
1999,Aug,24.56,71.26,5.5,68.21
1999,Sep,25.22,60.32,5.87,100.09
1999,Oct,24.7,58.75,5.46,194.14
1999,Nov,23.53,36.84,5.5,67.57
1999,Dec,22.09,41.6,5.21,5.65
2000,Jan,23.17,23.04,5.94,0.04
2000,Feb,25.03,36.93,6.46,11.83
2000,Mar,26.54,20.46,7.52,0.07
2000,Apr,28.09,33.22,7.61,80.11
2000,May,26.86,46.22,7.24,73.29
2000,Jun,24.39,84.61,5.58,89.69
2000,Jul,24.06,79.21,5.35,99.86
2000,Aug,24.07,73.16,5.44,193.46
2000,Sep,24.91,63.67,5.79,132.48
2000,Oct,24.34,60.58,5.4,291.84
2000,Nov,23.75,39.67,5.45,13.41
2000,Dec,21.9,35.44,5.32,14.7
2001,Jan,23.2,36.97,5.65,0.46
2001,Feb,26.06,19.39,6.81,0.12
2001,Mar,27.43,27.89,7.47,3.65
2001,Apr,28.13,39.5,7.51,102.72
2001,May,27.4,45.97,7.26,71.6
2001,Jun,25.16,84.44,5.61,35.69
2001,Jul,24.73,82.74,5.34,97.21
2001,Aug,24.16,76.56,5.38,64.21
2001,Sep,25.32,68.42,5.72,150.75
2001,Oct,24.21,60.91,5.39,165.14
2001,Nov,23.77,45.88,5.33,32.04
2001,Dec,22.21,44.84,5.15,8.25
2002,Jan,23.35,34.91,5.78,0.61
2002,Feb,24.13,24.29,6.64,0.12
2002,Mar,27.28,26.14,7.42,0.71
2002,Apr,28.56,29.63,7.71,10.39
2002,May,27.5,56.99,7.05,218.1
2002,Jun,25.29,79.28,5.73,160.31
2002,Jul,24.93,73.37,5.5,33.81
2002,Aug,24.72,71.76,5.5,40.27
2002,Sep,25.87,55.25,5.99,60.21
2002,Oct,25.09,60.42,5.47,183.97
2002,Nov,23.67,41.47,5.41,35.17
2002,Dec,22.78,36.1,5.35,4.54
